Date,BAJAJ-AUTO.NS,DRREDDY.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,MARUTI.NS,SUNPHARMA.NS,TCS.NS
2021-11-17,3242.3466796875,928.396728515625,728.1058959960938,2228.43603515625,738.475830078125,1604.604248046875,193.7174835205078,7981.39794921875,755.1917114257812,3123.937255859375
2021-11-18,3209.55029296875,909.539794921875,732.1964111328125,2236.12451171875,740.0280151367188,1597.3775634765625,192.0998077392578,7829.38525390625,754.5237426757812,3082.95849609375
2021-11-22,3116.047119140625,897.1080932617188,720.7572021484375,2226.0126953125,729.4546508789062,1579.4234619140625,186.76144409179688,7585.59521484375,735.532958984375,3067.612548828125
2021-11-23,3107.588134765625,901.84912109375,720.8524169921875,2231.27880859375,729.3091430664062,1559.22509765625,187.32763671875,7575.56396484375,749.3226928710938,3072.802490234375
2021-11-24,3082.48193359375,895.2487182617188,722.0415649414062,2213.152099609375,737.4088745117188,1522.509033203125,184.17315673828125,7397.55712890625,743.3583374023438,3054.219482421875
2021-11-25,3068.54931640625,893.9929809570312,725.7990112304688,2189.20068359375,728.5331420898438,1546.2083740234375,187.08499145507812,7304.0439453125,747.1279296875,3056.525390625
2021-11-26,3016.889404296875,925.0088500976562,708.6524047851562,2176.2001953125,700.548095703125,1518.60400390625,181.1804656982422,6916.29541015625,732.2406005859375,3057.368408203125
2021-11-29,2983.95751953125,914.6312866210938,714.0508422851562,2170.887939453125,696.862060546875,1522.822998046875,179.1583251953125,6896.03955078125,716.7330932617188,3106.286376953125
2021-11-30,2931.57421875,910.3965454101562,710.3884887695312,2159.84423828125,692.9334106445312,1537.455810546875,178.875244140625,6817.23583984375,719.1665649414062,3130.3681640625
2021-12-01,2939.94287109375,896.8648071289062,715.6680297851562,2185.286865234375,705.8831787109375,1539.4755859375,179.48190307617188,7015.40283203125,711.2935180664062,3173.521484375
2021-12-02,3011.2802734375,907.8458862304688,725.7039184570312,2221.1201171875,700.7421264648438,1569.4141845703125,182.35328674316406,7065.27001953125,731.238525390625,3231.265625
2021-12-03,2974.59375,894.9468994140625,719.901123046875,2184.16796875,694.8250732421875,1558.0133056640625,179.27967834472656,6953.140625,717.4487915039062,3229.09228515625
2021-12-06,2940.12353515625,875.9050903320312,715.263671875,2149.54638671875,688.27734375,1521.880615234375,176.24652099609375,6793.17041015625,703.46826171875,3136.799560546875
2021-12-07,2973.326904296875,880.1885986328125,725.6801147460938,2163.61865234375,712.6248779296875,1536.55810546875,178.4708709716797,6931.82470703125,709.7189331054688,3179.464111328125
2021-12-08,3014.582275390625,889.9236450195312,739.045654296875,2181.32568359375,730.8126831054688,1573.9923095703125,181.9488525390625,7171.3212890625,722.9360961914062,3217.0732421875
